Customer_ID,Name,City,Premium_Member
1,Saanvi Sharma,Mumbai,False
2,Vihaan Verma,Bangalore,False
3,Saanvi Patel,Delhi,False
4,Aarav Sharma,Delhi,False
5,Advik Patel,Mumbai,False
6,Saanvi Patel,Noida,False
7,Advik Gupta,Mumbai,False
8,Vihaan Singh,Chennai,False
9,Vihaan Gupta,Delhi,True
10,Aarav Gupta,Chennai,False
11,Aarav Singh,Ahmedabad,False
12,Diya Sharma,Ahmedabad,False
13,Saanvi Patel,Chennai,False
14,Saanvi Sharma,Mumbai,False
15,Ananya Sharma,Hyderabad,False
16,Diya Gupta,Gurgaon,False
17,Ananya Verma,Chennai,False
18,Saanvi Gupta,Jaipur,False
19,Saanvi Sharma,Kolkata,False
20,Advik Verma,Bangalore,False
21,Ananya Patel,Hyderabad,False
22,Aarav Verma,Mumbai,False
23,Diya Gupta,Delhi,False
24,Advik Gupta,Hyderabad,False
25,Diya Singh,Bangalore,False
26,Vihaan Patel,Ahmedabad,False
27,Advik Singh,Kolkata,False
28,Vihaan Verma,Ahmedabad,False
29,Aarav Sharma,Bangalore,False
30,Saanvi Singh,Kolkata,True
31,Diya Patel,Gurgaon,False
32,Advik Sharma,Lucknow,False
33,Saanvi Patel,Pune,False
34,Ananya Sharma,Pune,False
35,Diya Sharma,Jaipur,False
36,Ananya Patel,Bangalore,False
37,Aarav Gupta,Lucknow,False
38,Vihaan Verma,Chennai,False
39,Advik Patel,Mumbai,False
40,Diya Sharma,Delhi,False
41,Ananya Verma,Mumbai,False
42,Advik Sharma,Delhi,False
43,Aarav Patel,Bangalore,False
44,Diya Patel,Bangalore,False
45,Advik Singh,Hyderabad,False
46,Saanvi Verma,Jaipur,False
47,Saanvi Gupta,Gurgaon,False
48,Diya Sharma,Hyderabad,False
49,Ananya Sharma,Kolkata,False
50,Advik Verma,Mumbai,True
51,Saanvi Sharma,Hyderabad,True
52,Aarav Gupta,Delhi,False
53,Ananya Singh,Hyderabad,False
54,Saanvi Patel,Kolkata,False
55,Diya Singh,Hyderabad,True
56,Saanvi Singh,Chennai,False
57,Diya Sharma,Lucknow,False
58,Saanvi Sharma,Mumbai,False
59,Ananya Sharma,Hyderabad,False
60,Advik Singh,Bangalore,False
61,Ananya Singh,Hyderabad,False
62,Aarav Singh,Ahmedabad,True
63,Saanvi Patel,Mumbai,False
64,Vihaan Verma,Noida,False
65,Vihaan Singh,Mumbai,False
66,Aarav Singh,Pune,False
67,Diya Gupta,Noida,False
68,Saanvi Patel,Lucknow,False
69,Vihaan Verma,Pune,False
70,Aarav Patel,Jaipur,False
71,Saanvi Gupta,Mumbai,True
72,Diya Patel,Ahmedabad,False
73,Advik Sharma,Bangalore,True
74,Aarav Verma,Noida,False
75,Advik Verma,Kolkata,False
76,Advik Sharma,Noida,False
77,Advik Patel,Chennai,False
78,Vihaan Gupta,Hyderabad,False
79,Vihaan Gupta,Gurgaon,False
80,Aarav Sharma,Gurgaon,False
81,Advik Sharma,Delhi,False
82,Advik Gupta,Bangalore,False
83,Aarav Verma,Chennai,False
84,Diya Patel,Jaipur,False
85,Saanvi Patel,Mumbai,False
86,Advik Gupta,Lucknow,False
87,Vihaan Gupta,Delhi,False
88,Saanvi Patel,Bangalore,False
89,Advik Verma,Jaipur,False
90,Saanvi Gupta,Ahmedabad,False
91,Aarav Sharma,Lucknow,False
92,Ananya Sharma,Mumbai,False
93,Vihaan Gupta,Bangalore,False
94,Advik Singh,Ahmedabad,True
95,Aarav Verma,Ahmedabad,True
96,Ananya Patel,Ahmedabad,False
97,Vihaan Sharma,Pune,False
98,Aarav Gupta,Hyderabad,False
99,Saanvi Sharma,Chennai,False
100,Diya Patel,Jaipur,False
101,Vihaan Verma,Bangalore,False
102,Aarav Verma,Jaipur,False
103,Diya Verma,Pune,False
104,Saanvi Sharma,Noida,False
105,Diya Verma,Hyderabad,False
106,Diya Gupta,Pune,False
107,Vihaan Verma,Mumbai,False
108,Diya Gupta,Pune,False
109,Ananya Gupta,Lucknow,False
110,Saanvi Patel,Chennai,False
